2022-08-18+02:00 18:28:36
SRC_ADDR             | DST_ADDR             | SRC_PORT        | DST_PORT        | Total_Bytes     | Start_ts                       | End_ts                         | Protocol                      
10.0.2.15            | 35.232.111.17        | 50902           | 80              | 377             | 1660839879.176618              | 1660839879.436690              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 53701           | 102             | 1660839835.254020              | 1660839835.254020              | UDP                            
10.0.2.15            | 192.168.1.1          | 39250           | 53              | 94              | 1660839831.242993              | 1660839831.242993              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 49953           | 113             | 1660839831.893163              | 1660839831.893163              | UDP                            
10.0.2.15            | 192.168.1.1          | 37643           | 53              | 91              | 1660839834.536674              | 1660839834.536674              | UDP                            
10.0.2.15            | 140.82.113.25        | 35244           | 443             | 2958            | 1660839835.259666              | 1660840075.603885              | TCP                            
10.0.2.15            | 192.168.1.1          | 51560           | 53              | 85              | 1660839835.620257              | 1660839835.620257              | UDP                            
142.250.180.131      | 10.0.2.15            | 443             | 32826           | 4137            | 1660839828.357603              | 1660839830.192351              | UDP                            
10.0.2.15            | 192.168.1.1          | 50360           | 53              | 94              | 1660839833.795745              | 1660839833.795745              | UDP                            
10.0.2.15            | 34.117.237.239       | 60656           | 443             | 426             | 1660839858.633763              | 1660839912.359373              | TCP                            
10.0.2.15            | 192.168.1.1          | 53859           | 53              | 92              | 1660839829.302474              | 1660839829.302474              | UDP                            
142.250.180.162      | 10.0.2.15            | 443             | 46475           | 3371            | 1660839831.780553              | 1660839832.152786              | UDP                            
10.0.2.15            | 192.168.1.1          | 49784           | 53              | 94              | 1660839833.720094              | 1660839833.720094              | UDP                            
10.0.2.15            | 192.168.1.1          | 51119           | 53              | 98              | 1660839831.883201              | 1660839831.883201              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 35054           | 94              | 1660839833.814709              | 1660839833.814709              | UDP                            
10.0.2.15            | 192.168.1.1          | 54126           | 53              | 94              | 1660839834.426623              | 1660839834.426623              | UDP                            
35.232.111.17        | 10.0.2.15            | 80              | 50902           | 442             | 1660839879.308018              | 1660839879.437104              | TCP                            
