2022-09-07+02:00 20:25:16
SRC_ADDR                  | DST_ADDR                  | SRC_PORT        | DST_PORT        | TOTAL_BYTES     | START_TIMESTAMP                | END_TIMESTAMP                  | PROTOCOL  
127.0.0.1                 | 127.0.0.1                 | 43030           | 443             | 74              | 1662574988.563616              | 1662574988.563616              | TCP                            
127.0.0.1                 | 127.0.0.53                | 42888           | 53              | 206             | 1662575091.886893              | 1662575091.890013              | UDP                            
127.0.0.53                | 127.0.0.1                 | 53              | 54407           | 430             | 1662575115.263197              | 1662575115.279104              | UDP                            
127.0.0.1                 | 127.0.0.53                | 55095           | 53              | 100             | 1662575035.171759              | 1662575035.171759              | UDP                            
127.0.0.1                 | 127.0.0.1                 | 80              | 46560           | 54              | 1662574988.384914              | 1662574988.384914              | TCP                            
127.0.0.1                 | 127.0.0.1                 | 80              | 46556           | 54              | 1662574988.340710              | 1662574988.340710              | TCP                            
127.0.0.1                 | 127.0.0.53                | 53052           | 53              | 206             | 1662575104.112439              | 1662575104.112687              | UDP                            
127.0.0.1                 | 127.0.0.1                 | 443             | 43030           | 54              | 1662574988.563689              | 1662574988.563689              | TCP                            
127.0.0.1                 | 127.0.0.53                | 45840           | 53              | 108             | 1662575035.177344              | 1662575035.177344              | UDP                            
127.0.0.1                 | 127.0.0.53                | 54669           | 53              | 170             | 1662574985.522179              | 1662574985.522470              | UDP                            
127.0.0.1                 | 127.0.0.53                | 54395           | 53              | 206             | 1662575110.950902              | 1662575110.956738              | UDP                            
127.0.0.53                | 127.0.0.1                 | 53              | 33463           | 276             | 1662574980.297445              | 1662574980.297530              | UDP                            
127.0.0.53                | 127.0.0.1                 | 53              | 42888           | 440             | 1662575091.908692              | 1662575091.915947              | UDP                            
127.0.0.1                 | 127.0.0.1                 | 80              | 46558           | 54              | 1662574988.384587              | 1662574988.384587              | TCP                            
127.0.0.53                | 127.0.0.1                 | 53              | 54395           | 430             | 1662575112.325929              | 1662575112.402681              | UDP                            
127.0.0.1                 | 127.0.0.1                 | 43028           | 443             | 74              | 1662574988.554344              | 1662574988.554344              | TCP                            
127.0.0.1                 | 127.0.0.1                 | 46556           | 80              | 74              | 1662574988.340702              | 1662574988.340702              | TCP                            
127.0.0.53                | 127.0.0.1                 | 53              | 54669           | 214             | 1662574985.535539              | 1662574985.537888              | UDP                            
127.0.0.1                 | 127.0.0.53                | 48432           | 53              | 206             | 1662575113.009186              | 1662575113.009500              | UDP                            
127.0.0.53                | 127.0.0.1                 | 53              | 55095           | 100             | 1662575035.177263              | 1662575035.177263              | UDP                            
127.0.0.1                 | 127.0.0.1                 | 46558           | 80              | 74              | 1662574988.384580              | 1662574988.384580              | TCP                            
127.0.0.53                | 127.0.0.1                 | 53              | 48432           | 430             | 1662575113.009477              | 1662575113.016779              | UDP                            
127.0.0.53                | 127.0.0.1                 | 53              | 45840           | 108             | 1662575035.220821              | 1662575035.220821              | UDP                            
127.0.0.1                 | 127.0.0.53                | 36324           | 53              | 206             | 1662575101.606568              | 1662575101.606912              | UDP                            
127.0.0.1                 | 127.0.0.53                | 54407           | 53              | 206             | 1662575115.262937              | 1662575115.263220              | UDP                            
127.0.0.1                 | 127.0.0.1                 | 443             | 43028           | 54              | 1662574988.554351              | 1662574988.554351              | TCP                            
127.0.0.1                 | 127.0.0.53                | 59091           | 53              | 180             | 1662574990.840402              | 1662574990.840598              | UDP                            
127.0.0.53                | 127.0.0.1                 | 53              | 59091           | 304             | 1662574990.863297              | 1662574990.872275              | UDP                            
127.0.0.1                 | 127.0.0.1                 | 46560           | 80              | 74              | 1662574988.384911              | 1662574988.384911              | TCP                            
127.0.0.53                | 127.0.0.1                 | 53              | 36324           | 440             | 1662575101.646707              | 1662575101.656393              | UDP                            
127.0.0.53                | 127.0.0.1                 | 53              | 53052           | 440             | 1662575104.112658              | 1662575104.116914              | UDP                            
127.0.0.1                 | 127.0.0.53                | 33463           | 53              | 174             | 1662574980.153859              | 1662574980.154955              | UDP                            

92.168.1.1               | 10.0.2.15                 | 53              | 37737           | 235             | 1662574828.266009              | 1662574828.266009              | UDP                            
10.0.2.15                 | 192.168.1.1               | 39069           | 53              | 92              | 1662574805.143462              | 1662574805.143462              | UDP                            
31.13.86.36               | 10.0.2.15                 | 443             | 41296           | 8765            | 1662574805.889999              | 1662574880.101501              | TCP                            
10.0.2.15                 | 192.168.1.1               | 38843           | 53              | 108             | 1662574828.244625              | 1662574828.244625              | UDP                            
10.0.2.15                 | 140.82.121.4              | 56304           | 443             | 279             | 1662574818.765284              | 1662574818.792322              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 38736           | 111             | 1662574805.168071              | 1662574805.168071              | UDP                            
20.42.73.24               | 10.0.2.15                 | 443             | 59868           | 6335            | 1662574828.386262              | 1662574828.740633              | TCP                            
10.0.2.15                 | 192.168.1.1               | 45221           | 53              | 98              | 1662574866.885381              | 1662574866.885381              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 38843           | 180             | 1662574828.266265              | 1662574828.266265              | UDP                            
185.199.109.133           | 10.0.2.15                 | 443             | 53440           | 378             | 1662574813.764524              | 1662574813.778542              | TCP                            
108.138.199.18            | 10.0.2.15                 | 443             | 48674           | 240             | 1662574817.765495              | 1662574817.777079              | TCP                            
